ticket_id,created_at,description,true_category,true_priority,true_sentiment,customer_name,ticket_length,description_clean,text_length,word_count,day_of_week,hour
1,2026-06-08 16:09:05.864228,Your platform has transformed our workflow.,Other,Low,Neutral,Customer_9935,6,your platform has transformed our workflow,42,6,Monday,16
2,2026-06-15 00:09:05.864228,Cannot login to my account. Getting 500 error on login page.,Bug,High,Positive,Customer_1434,11,cannot login to my account getting 500 error on login page,58,11,Monday,0
3,2026-06-17 01:09:05.864228,I need to add team members to my workspace.,Account,Low,Neutral,Customer_5557,9,i need to add team members to my workspace,42,9,Wednesday,1
4,2026-06-27 13:09:05.864228,Mobile app freezes when uploading files larger than 50MB.,Bug,High,Neutral,Customer_6514,9,mobile app freezes when uploading files larger than 50mb,56,9,Saturday,13
5,2026-06-06 18:09:05.864228,Export to CSV feature crashes when I select more than 1000 rows.,Bug,Low,Positive,Customer_8527,12,export to csv feature crashes when i select more than 1000 rows,63,12,Saturday,18
6,2026-06-04 23:09:05.864228,How do I change my email address?,Account,Low,Negative,Customer_6925,7,how do i change my email address?,33,7,Thursday,23
7,2026-06-04 12:09:05.864228,"I forgot my password, please reset it. This is urgent!",Account,Low,Positive,Customer_2654,10,i forgot my password please reset it this is urgent!,52,10,Thursday,12
8,2026-06-20 13:09:05.864228,How do I reset my API key?,Technical Support,Low,Neutral,Customer_5374,7,how do i reset my api key?,26,7,Saturday,13
9,2026-06-13 20:09:05.864228,Can you recommend best practices for scaling?,Other,Critical,Negative,Customer_5010,7,can you recommend best practices for scaling?,45,7,Saturday,20
10,2026-06-21 18:09:05.864228,Can you implement two-factor authentication?,Feature Request,Medium,Positive,Customer_4752,5,can you implement twofactor authentication?,43,5,Sunday,18
11,2026-06-01 01:09:05.864228,Cannot login to my account. Getting 500 error on login page.,Bug,Critical,Negative,Customer_6155,11,cannot login to my account getting 500 error on login page,58,11,Monday,1
12,2026-06-27 12:09:05.864228,We need API access for custom integrations.,Feature Request,Medium,Neutral,Customer_9830,7,we need api access for custom integrations,42,7,Saturday,12
13,2026-06-24 15:09:05.864228,I was charged but didn't confirm the transaction.,Billing,High,Negative,Customer_9348,8,i was charged but didnt confirm the transaction,47,8,Wednesday,15
14,2026-06-25 22:09:05.864228,How do I connect my database to the platform?,Technical Support,Low,Positive,Customer_7916,9,how do i connect my database to the platform?,45,9,Thursday,22
15,2026-06-14 19:09:05.864228,How do I delete my account?,Account,Low,Neutral,Customer_2876,6,how do i delete my account?,27,6,Sunday,19
16,2026-06-18 14:09:05.864228,Question about your roadmap priorities.,Other,High,Negative,Customer_8433,5,question about your roadmap priorities,38,5,Thursday,14
17,2026-06-15 16:09:05.864228,Export to CSV feature crashes when I select more than 1000 rows. Thanks in advance.,Bug,Critical,Negative,Customer_5889,15,export to csv feature crashes when i select more than 1000 rows thanks in advance,81,15,Monday,16
18,2026-06-01 03:09:05.864228,Question about your roadmap priorities. Losing money on this.,Other,Medium,Positive,Customer_1009,9,question about your roadmap priorities losing money on this,59,9,Monday,3
19,2026-06-24 18:09:05.864228,Can you update my billing address? Been waiting 3 days.,Account,Low,Positive,Customer_4946,10,can you update my billing address? been waiting 3 days,54,10,Wednesday,18
20,2026-06-07 15:09:05.864228,How do I delete my account? Losing money on this.,Account,Critical,Neutral,Customer_3103,10,how do i delete my account? losing money on this,48,10,Sunday,15
21,2026-06-12 06:09:05.864228,Question about your roadmap priorities.,Other,Medium,Neutral,Customer_4470,5,question about your roadmap priorities,38,5,Friday,6
22,2026-06-09 23:09:05.864228,Can you update my billing address?,Account,High,Negative,Customer_7118,6,can you update my billing address?,34,6,Tuesday,23
23,2026-06-21 19:09:05.864228,What's the maximum file size I can upload?,Technical Support,High,Negative,Customer_4770,8,whats the maximum file size i can upload?,41,8,Sunday,19
24,2026-06-03 18:09:05.864228,How do I change my email address?,Account,Low,Positive,Customer_6413,7,how do i change my email address?,33,7,Wednesday,18
25,2026-06-26 20:09:05.864228,Mobile app freezes when uploading files larger than 50MB.,Bug,High,Neutral,Customer_8744,9,mobile app freezes when uploading files larger than 50mb,56,9,Friday,20
26,2026-06-10 06:09:05.864228,Would love to see integration with Slack for notifications.,Feature Request,High,Negative,Customer_6804,9,would love to see integration with slack for notifications,58,9,Wednesday,6
27,2026-06-11 16:09:05.864228,How do I connect my database to the platform?,Technical Support,Medium,Negative,Customer_1993,9,how do i connect my database to the platform?,45,9,Thursday,16
28,2026-06-25 02:09:05.864228,How do I connect my database to the platform?,Technical Support,Medium,Negative,Customer_8350,9,how do i connect my database to the platform?,45,9,Thursday,2
29,2026-06-17 02:09:05.864228,Would love to see integration with Slack for notifications. This is urgent!,Feature Request,Medium,Positive,Customer_2604,12,would love to see integration with slack for notifications this is urgent!,74,12,Wednesday,2
