ticket_id,created_at,description,true_category,true_priority,true_sentiment,customer_name,ticket_length
1,2026-06-08T16:09:05.864228,Your platform has transformed our workflow.,Other,Low,Neutral,Customer_9935,6
2,2026-06-15T00:09:05.864228,Cannot login to my account. Getting 500 error on login page.,Bug,High,Positive,Customer_1434,11
3,2026-06-17T01:09:05.864228,I need to add team members to my workspace.,Account,Low,Neutral,Customer_5557,9
4,2026-06-27T13:09:05.864228,Mobile app freezes when uploading files larger than 50MB.,Bug,High,Neutral,Customer_6514,9
5,2026-06-06T18:09:05.864228,Export to CSV feature crashes when I select more than 1000 rows.,Bug,Low,Positive,Customer_8527,12
6,2026-06-04T23:09:05.864228,How do I change my email address?,Account,Low,Negative,Customer_6925,7
7,2026-06-04T12:09:05.864228,"I forgot my password, please reset it. This is urgent!",Account,Low,Positive,Customer_2654,10
8,2026-06-20T13:09:05.864228,How do I reset my API key?,Technical Support,Low,Neutral,Customer_5374,7
9,2026-06-13T20:09:05.864228,Can you recommend best practices for scaling?,Other,Critical,Negative,Customer_5010,7
10,2026-06-21T18:09:05.864228,Can you implement two-factor authentication?,Feature Request,Medium,Positive,Customer_4752,5
11,2026-06-01T01:09:05.864228,Cannot login to my account. Getting 500 error on login page.,Bug,Critical,Negative,Customer_6155,11
12,2026-06-27T12:09:05.864228,We need API access for custom integrations.,Feature Request,Medium,Neutral,Customer_9830,7
13,2026-06-24T15:09:05.864228,I was charged but didn't confirm the transaction.,Billing,High,Negative,Customer_9348,8
14,2026-06-25T22:09:05.864228,How do I connect my database to the platform?,Technical Support,Low,Positive,Customer_7916,9
15,2026-06-14T19:09:05.864228,How do I delete my account?,Account,Low,Neutral,Customer_2876,6
16,2026-06-18T14:09:05.864228,Question about your roadmap priorities.,Other,High,Negative,Customer_8433,5
17,2026-06-15T16:09:05.864228,Export to CSV feature crashes when I select more than 1000 rows. Thanks in advance.,Bug,Critical,Negative,Customer_5889,15
18,2026-06-01T03:09:05.864228,Question about your roadmap priorities. Losing money on this.,Other,Medium,Positive,Customer_1009,9
19,2026-06-24T18:09:05.864228,Can you update my billing address? Been waiting 3 days.,Account,Low,Positive,Customer_4946,10
